Name,Age,Work field,Salary per year ($),Country
Lara,23,Biotechnology & Research,55869,Singapore
Gabriel,35,Architecture & Construction,6573296,Germany
Feng,52,Healthcare & Medicine,5405844,Australia
Amine,52,Customer Success & Support,2394572,South Africa
Funmilayo,22,Operations & Logistics,6102308,Belgium
Youssef,29,Information Technology,6969279,Indonesia
Matthew,23,Real Estate,7100591,Canada
Nikolai,61,Sales & Business Development,6647201,Colombia
Thomas,47,Engineering,7485557,Switzerland
Wu,46,Graphic Design & Creative Arts,8664951,Denmark
Bamidele,54,Education & Academia,7140966,Philippines
Sofia,65,Engineering,9256905,Finland
Isabella,20,Legal Services,5962724,France
Laura,60,Engineering,3093707,Spain
Jabari,40,Graphic Design & Creative Arts,9014023,Canada
Bunmi,54,Architecture & Construction,4608719,Singapore
Maria,38,Engineering,9544117,Ecuador
Ting,21,Graphic Design & Creative Arts,4179489,Finland
Leonardo,59,Architecture & Construction,7582417,Turkey
Femi,45,Legal Services,8956265,New Zealand
Nathan,34,Public Relations & Media,201925,France
Michael,28,Graphic Design & Creative Arts,2589893,United Arab Emirates
Arthur,45,Biotechnology & Research,8985593,Greece
Gustavo,51,Operations & Logistics,8684874,Norway
Amanda,48,Real Estate,2164835,Turkey
Hamza,60,Project Management,9160284,Colombia
Xiang,29,Engineering,4450084,Finland
Mariana,59,Real Estate,7854421,Austria
Thabo,30,Marketing & Advertising,5289527,Ecuador
Sami,63,Finance & Banking,406567,Spain
Kiran,50,Sales & Business Development,4209523,Greece
Chukwudi,18,Environmental Science & Sustainability,2546519,Italy
Kavita,22,Legal Services,2537165,Ethiopia
Huong,31,Project Management,239825,Portugal
Roman,51,Biotechnology & Research,7217055,Finland
Isabella,30,Customer Success & Support,7483253,Qatar
Wei,48,Information Technology,9775081,Sweden
Matheus,63,Finance & Banking,1651577,Egypt
Aarav,64,Project Management,305645,Ghana
Maha,49,Sales & Business Development,8729327,New Zealand
Made,29,Project Management,4421425,Thailand
Léa,41,Real Estate,3841476,Indonesia
Sifiso,65,Sales & Business Development,3335887,Chile
Ping,35,Healthcare & Medicine,6075068,Ukraine
Rafiki,22,Real Estate,5033115,Mexico
Olivia,58,Real Estate,8891963,Hungary
Julia,44,Human Resources,8711303,France
John,56,Biotechnology & Research,1095195,New Zealand
Hyun-woo,46,E-commerce,8756167,Ghana
Antonella,50,Biotechnology & Research,8552576,Canada
Ping,36,Environmental Science & Sustainability,4970089,Chile
Gabriel,34,Operations & Logistics,894340,Ethiopia
Hamza,38,Sales & Business Development,1280405,Peru
Nikolai,41,Sales & Business Development,3289290,Czech Republic
Lara,49,Finance & Banking,2877759,Turkey
Camila,50,Human Resources,2701392,Norway
Tao,44,Healthcare & Medicine,9846907,New Zealand
Rafael,50,Graphic Design & Creative Arts,8848477,South Korea
Swati,33,Customer Success & Support,998583,Singapore
Kritika,21,Real Estate,5111364,Australia
Alejandro,62,E-commerce,5392788,France
Francisca,52,Environmental Science & Sustainability,7570365,Italy
Arthur,26,Project Management,821861,India
Wen,36,Graphic Design & Creative Arts,464940,Kazakhstan
Sneha,18,Operations & Logistics,2858449,Malaysia
Azizi,46,Operations & Logistics,1928965,Norway
Josefa,55,Data Science & Analytics,3593675,Peru
Dayo,36,Information Technology,5984850,Malaysia
Camila,42,Operations & Logistics,2417053,Finland
Ting,54,Legal Services,6579003,Brazil
Leonardo,48,Biotechnology & Research,9815764,Spain
Benjamin,42,Environmental Science & Sustainability,523791,Japan
Sophia,42,E-commerce,728323,Argentina
Emma,37,Architecture & Construction,4411820,Chile
Sofia,23,E-commerce,6163918,Sweden
Mandla,42,Education & Academia,1843298,Netherlands
Khadija,24,E-commerce,5737211,New Zealand
Mariana,30,Real Estate,9868716,Austria
Ivan,58,Project Management,7674544,Finland
Vicente,39,Operations & Logistics,3237214,Switzerland
Fernanda,56,Project Management,9272663,Norway
Souad,24,Biotechnology & Research,8816329,Peru
Valentina,22,Real Estate,2638990,New Zealand
Farah,23,Sales & Business Development,1453727,Argentina
Nadia,25,Sales & Business Development,7645971,Morocco
Nicolas,31,Environmental Science & Sustainability,2138169,Germany
Yasmin,19,Sales & Business Development,1159767,Ecuador
Lestari,21,Real Estate,5581039,Mexico
Mustafa,40,Healthcare & Medicine,9785939,Brazil
Aditi,31,Data Science & Analytics,6277715,Nigeria
Houda,18,Data Science & Analytics,7883082,Denmark
Ananya,22,Data Science & Analytics,7503985,Sweden
Arthur,61,Operations & Logistics,5606795,Kazakhstan
Xiaoyan,23,Healthcare & Medicine,445433,Australia
Pavel,55,Legal Services,1352538,Poland
Sophia,45,Biotechnology & Research,5469685,United Arab Emirates
Bernardo,20,Biotechnology & Research,8144948,Ecuador
Siriporn,30,Finance & Banking,7534767,Singapore
Nicolas,19,Finance & Banking,4974578,Egypt
Samuel,29,Public Relations & Media,3014435,Malaysia
